,date,price,year
989,20160114,231.38,2016
990,20160113,233.52,2016
991,20160113,233.52,2016
992,20160112,230.55,2016
993,20160111,230.83,2016
994,20160108,233.68,2016
995,20160107,231.93,2016
996,20160106,234.60,2016
997,20160105,236.13,2016
998,20160105,236.13,2016
999,20160104,234.63,2016
1000,20151230,240.38,2015
1001,20151229,241.22,2015
1002,20151228,241.79,2015
1003,20151224,245.33,2015
1004,20151223,246.53,2015
1005,20151223,246.53,2015
1006,20151222,245.48,2015
1007,20151221,243.76,2015
1008,20151218,243.00,2015
1009,20151217,244.17,2015
1010,20151216,243.49,2015
1011,20151215,238.80,2015
1012,20151215,238.80,2015
1013,20151214,238.17,2015
1014,20151211,240.35,2015
1015,20151210,240.60,2015
1016,20151209,239.40,2015
1017,20151208,239.23,2015
1018,20151207,240.68,2015
1019,20151207,240.68,2015
1020,20151204,242.15,2015
1021,20151203,244.68,2015
1022,20151202,246.60,2015
1023,20151201,248.70,2015
1024,20151130,244.24,2015
1025,20151127,249.07,2015
1026,20151127,249.07,2015
1027,20151126,249.43,2015
1028,20151125,246.58,2015
1029,20151124,247.51,2015
1030,20151123,245.92,2015
1031,20151120,244.80,2015
1032,20151119,244.79,2015
1033,20151119,244.79,2015
1034,20151118,241.44,2015
1035,20151117,241.26,2015
1036,20151116,238.87,2015
1037,20151113,242.71,2015
1038,20151112,245.14,2015
1039,20151111,245.86,2015
1040,20151111,245.86,2015
1041,20151110,245.86,2015
1042,20151109,249.21,2015
1043,20151106,250.25,2015
1044,20151105,251.79,2015
1045,20151104,252.33,2015
1046,20151103,252.12,2015
1047,20151103,252.12,2015
1048,20151102,250.60,2015
1049,20151030,249.41,2015
1050,20151029,248.93,2015
1051,20151028,249.79,2015
1052,20151027,250.04,2015
1053,20151026,250.36,2015
1054,20151026,250.36,2015
1055,20151023,249.41,2015
1056,20151022,247.22,2015
1057,20151021,249.25,2015
1058,20151020,248.53,2015
1059,20151019,247.47,2015
1060,20151016,247.37,2015
1061,20151016,247.37,2015
1062,20151015,247.89,2015
1063,20151014,244.94,2015
1064,20151013,246.04,2015
1065,20151012,246.49,2015
1066,20151008,246.02,2015
1067,20151007,243.52,2015
1068,20151007,243.52,2015
